"Nstart","Nend.BA.Base","Nend.BA.Deac","Nend.BA.LRest","Diff.BA.Deac.tEnd","Diff.S.Deac.tEnd","Diff.BA.LRest.tEnd","Diff.S.LRest.tEnd"
20,3.46077431534603,7.8150339135572,4.69853579559324,40.3053598531653,10.113981853469,141.788222368131,23.2988965360814
21,3.63381303111333,8.20578560923506,4.93346258537291,38.3860570030145,9.63236366997047,135.036402255363,22.1894252724585
22,3.80685174688063,8.59653730491292,5.16838937515257,36.6412362301502,9.19452895769908,128.898383971029,21.1808150328013
23,3.97989046264793,8.98728900059077,5.40331616493223,35.0481390027524,8.79476682910347,123.294106407071,20.2599100313751
24,4.15292917841523,9.37804069626863,5.63824295471189,33.5877998776377,8.42831821122416,118.156851973443,19.4157471134012
25,4.32596789418253,9.76879239194649,5.87316974449155,32.2442878825322,8.09118548277519,113.430577894505,18.6391172288651
26,4.49900660994983,10.1595440876244,6.10809653427122,31.0041229639733,7.77998604112999,109.067863360101,17.922228104678
27,4.67204532571713,10.5502957833022,6.34302332405088,29.8558221134558,7.49183840997703,105.028312865283,17.2584418785788
28,4.84508404148444,10.9410474789801,6.57795011383054,28.7895427522609,7.22427275247785,101.277301691522,16.6420689543439
29,5.01812275725174,11.3317991746579,6.8128769036102,27.7967998987347,6.97515989894413,97.7849809435389,16.0682045076424
30,5.19116147301904,11.7225508703358,7.04780369338986,26.8702399021102,6.74265456897933,94.5254815787543,15.5325976907209
31,5.36420018878634,12.1133025660137,7.28273048316953,26.003457969784,6.52514958288322,91.4762724955687,15.0315461523106
32,5.53723890455364,12.5040542616915,7.51765727294919,25.1908499082283,6.32123865841812,88.6176389800821,14.5618103350509
33,5.71027762032094,12.8948059573694,7.75258406272885,24.4274908201002,6.12968597179939,85.9322559806857,14.1205433552009
34,5.88331633608824,13.2855576530472,7.98751085250851,23.7090352077443,5.94940109027588,83.4048366871361,13.7052332565185
35,6.05635505185554,13.6763093487251,8.22243764228817,23.0316342018087,5.77941820198228,81.021841353218,13.3136551634751
36,6.22939376762285,14.067061044403,8.45736443206784,22.3918665850918,5.61887880748277,78.7712346489619,12.9438314089341
37,6.40243248339015,14.4578127400808,8.6922912218475,21.786681001711,5.46701721809135,76.6422823611521,12.5939981276116
38,6.57547119915745,14.8485644357587,8.92721801162716,21.2133472911396,5.32314834393105,74.6253801937534,12.2625771242534
39,6.74850991492475,15.2393161314365,9.16214480140682,20.6694153093155,5.18665736075333,72.7119089067341,11.9481520697853
40,6.92154863069205,15.6300678271144,9.39707159118649,20.1526799265826,5.0569909267345,70.8941111840657,11.6494482680407
41,7.09458734645935,16.0208195227923,9.63199838096615,19.6611511478855,4.93364968461902,69.1649865210397,11.3653153834543
42,7.26762606222665,16.4115712184701,9.86692517074581,19.1930285015073,4.81618183498523,67.5182011276816,11.0947126362292
43,7.44066477799395,16.802322914148,10.1018519605255,18.7466790014722,4.70417760626465,65.9480104037821,10.8366960632937
44,7.61370349376126,17.1930746098258,10.3367787503051,18.3206181150751,4.59726447884954,64.4491919855143,10.5904075164006
45,7.78674220952856,17.5838263055037,10.5717055400848,17.9134932680734,4.49510304598622,63.0169877191695,10.3550651271473
46,7.95978092529586,17.9745780011815,10.8066323298645,17.5240695013762,4.39738341455174,61.6470532035354,10.1299550156876
47,8.13281964106316,18.3653296968594,11.0415591196441,17.1512169587937,4.30382206530595,60.3354137736729,9.91442405790699
48,8.30585835683046,18.7560813925373,11.2764859094238,16.7938999388189,4.21415910561208,59.0784259867214,9.70787355670059
49,8.47889707259776,19.1468330882151,11.5114126992034,16.4511672870062,4.12815585855877,57.8727438237271,9.5097536881965
50,8.65193578836506,19.537584783893,11.7463394889831,16.1221439412661,4.0455927413876,56.7152889472526,9.31955861443257
51,8.82497450413236,19.9283364795708,11.9812662787628,15.8060234718295,3.96626739351725,55.6032244580908,9.13682217101232
52,8.99801321989966,20.3190881752487,12.2161930685424,15.5020614819866,3.889993020565,54.5339316800506,8.96111405233901
53,9.17105193566697,20.7098398709266,12.4511198583221,15.2095697559114,3.81659692583736,53.5049895728798,8.79203642870997
54,9.34409065143427,21.1005915666044,12.6860466481018,14.9279110567279,3.74591920498852,52.5141564326413,8.62922093928941
55,9.51712936720157,21.4913432622823,12.9209734378814,14.6564944920601,3.67781158307963,51.5593535884114,8.47232601312052
56,9.69016808296887,21.8820949579601,13.1559002276611,14.3947713761304,3.61213637623893,50.6386508457612,8.32103447717193
57,9.86320679873617,22.272846653638,13.3908270174407,14.1422315274264,3.5487655626207,49.7502534625023,8.17505141616892
58,10.0362455145035,22.6635983493159,13.6257538072204,13.8983999493673,3.48757994947207,48.8924904717695,8.03410225382118
59,10.2092842302708,23.0543500449937,13.8606805970001,13.6628338485306,3.42846842490474,48.0638041925869,7.89793102918014
60,10.3823229460381,23.4451017406716,14.0956073867797,13.4351199510551,3.37132728448966,47.2627407893771,7.76629884536047
61,10.5553616618054,23.8358534363494,14.3305341765594,13.214872083005,3.31605962408819,46.4879417600431,7.63898247084637
62,10.7284003775727,24.2266051320273,14.5654609663391,13.001728984892,3.26257479144161,45.7381362477843,7.5157730761553
63,10.90143909334,24.6173568277052,14.8003877561187,12.7953523343382,3.21078788999016,45.0121340851211,7.3964750908195
64,11.0744778091073,25.008108523383,15.0353145458984,12.5954249541141,3.16061932920906,44.3088194900411,7.28090516752544
65,11.2475165248746,25.3988602190609,15.270241335678,12.4016491855893,3.111994416452,43.6271453440404,7.16889124187121
66,11.4205552406419,25.7896119147387,15.5051681254577,12.2137454100501,3.06484298589969,42.9661279903429,7.06027167760043
67,11.5935939564092,26.1803636104166,15.7400949152374,12.0314507024374,3.01909906073701,42.3248424979497,6.95489448838251
68,11.7666326721765,26.5711153060945,15.975021705017,11.8545176038721,2.97470054513794,41.7024183435681,6.85261662825924
69,11.9396713879438,26.9618670017723,16.2099484947967,11.6827130009175,2.93158894303449,41.0980354690236,6.75330334379172
70,12.1127101037111,27.3526186974502,16.4448752845763,11.5158171009044,2.88970910099114,40.510920676609,6.65682758173755
71,12.2857488194784,27.743370393128,16.679802074356,11.3536224938494,2.84900897280817,39.9403443290511,6.5630694467835
72,12.4587875352457,28.1341220888059,16.9147288641357,11.1959332925459,2.80943940374139,39.385617324481,6.47191570446706
73,12.631826251013,28.5248737844838,17.1496556539153,11.0425643433329,2.77095393245726,38.846088320036,6.38325932495381
74,12.8048649667803,28.9156254801616,17.384582443695,10.8933405008555,2.73350860904567,38.3211411805761,6.29699906380579
75,12.9779036825476,29.3063771758395,17.6195092334747,10.7480959608441,2.69706182759173,37.8101926315017,6.21303907628838
76,13.1509423983149,29.6971288715173,17.8544360232543,10.6066736455698,2.66157417196552,37.3126900968767,6.13128856212669
77,13.3239811140822,30.0878805671952,18.089362813034,10.4689246371858,2.62700827362831,36.8281097060082,6.05166143794323
78,13.4970198298495,30.4786322628731,18.3242896028136,10.3347076546578,2.59332868037666,36.355954453367,5.97407603489267
79,13.6700585456168,30.8693839585509,18.5592163925933,10.2038885704216,2.56050173505544,35.8957524982611,5.89845481926112
80,13.8430972613841,31.2601356542288,18.794143182373,10.0763399632913,2.52849546336725,35.4470555920329,5.82472413402035
81,14.0161359771514,31.6508873499066,19.0290699721526,9.95194070448525,2.49727946999234,35.0094376217608,5.75281395952628
82,14.1891746929187,32.0416390455845,19.2639967619323,9.83057557394275,2.46682484230951,34.5824932605199,5.68265769172717
83,14.362213408686,32.4323907412624,19.498923551712,9.71213490437717,2.43710406107687,34.1658367152124,5.61419193640516
84,14.5352521244533,32.8231424369402,19.7338503414916,9.59651425075363,2.40809091749262,33.7591005638408,5.54735631811462
85,14.7082908402206,33.2138941326181,19.9687771312713,9.48361408309771,2.37976043611035,33.3619346748545,5.48209330260739
86,14.8813295559879,33.6046458282959,20.2037039210509,9.37333950073611,2.35208880313232,32.974005201891,5.41834803164684
87,15.0543682717552,33.9953975239738,20.4386307108306,9.26559996624489,2.32505329964804,32.5949936478463,5.35606816921412
88,15.2274069875225,34.3861492196517,20.6735575006103,9.16030905753756,2.29863223942477,32.2245959927571,5.29520375820032
89,15.4004457032898,34.7769009153295,20.9084842903899,9.05738423666635,2.27280491089191,31.862521880479,5.23570708675987
90,15.5734844190571,35.1676526110074,21.1434110801696,8.95674663403672,2.24755152299311,31.5084938595848,5.17753256357365
91,15.7465231348244,35.5584043066852,21.3783378699493,8.85832084684951,2.22285315460857,31.1622466743146,5.12063660133658
92,15.9195618505917,35.9491560023631,21.6132646597289,8.7620347506881,2.19869170727587,30.8235266017677,5.06497750784379
93,16.092600566359,36.339907698041,21.8481914495086,8.66781932326135,2.17504986096107,30.4920908318562,5.01051538410353
94,16.2656392821263,36.7306593937188,22.0831182392882,8.57560847939686,2.15191103265298,30.1677068868365,4.95721202895349
95,16.4386779978936,37.1214110893967,22.3180450290679,8.48533891645584,2.12925933757242,29.8501520775014,4.90503084970135
96,16.6117167136609,37.5121627850745,22.5529718188476,8.39694996940943,2.10707955280604,29.5392129933607,4.8539367783503
97,16.7847554294282,37.9029144807524,22.7878986086272,8.31038347487944,2.08535708318948,29.234685024357,4.80389619300648
98,16.9577941451955,38.2936661764303,23.0228253984069,8.22558364350311,2.06407792927939,28.9363719118636,4.75487684409825
99,17.1308328609628,38.6844178721081,23.2577521881866,8.14249694003339,2.04322865726646,28.6440853268952,4.70684778506695
100,17.3038715767301,39.075169567786,23.4926789779662,8.06107197063305,2.0227963706938,28.3576444736263,4.65977930721628
101,17.4769102924974,39.4659212634638,23.7276057677459,7.98125937686441,2.00276868385525,28.0768757164617,4.61364287843196
102,17.6499490082647,39.8566729591417,23.9625325575255,7.90301173591476,1.98313369675863,27.8016122290454,4.56841108550616
103,17.822987724032,40.2474246548196,24.1974593473052,7.82628346663403,1.96387997154738,27.5316936637148,4.52405757982164
104,17.9960264397993,40.6381763504974,24.4323861370849,7.75103074099332,1.9449965102825,27.2669658400253,4.4805570261695
105,18.1690651555666,41.0289280461753,24.6673129268645,7.67721140060291,1.92647273399409,27.0072804510727,4.4378850544917
106,18.3421038713339,41.4196797418531,24.9022397166442,7.60478487795571,1.90829846291868,26.7524947864399,4.39601821435498
107,18.5151425871012,41.810431437531,25.1371665064238,7.53371212208696,1.89046389784467,26.5024714706788,4.35493393197784
108,18.6881813028685,42.2011831332089,25.3720932962035,7.46395552836394,1.87295960249426,26.2570782163206,4.31461046964471
